area_sqft,bedrooms,bathrooms,property_age,distance_city_km,school_rating,parking_slots,location,property_type,furnishing,price
1916,4,2,0,32.52,6.3,3,Average,Independent House,Fully-Furnished,16561223.07
2226,2,4,2,14.54,4.1,3,Good,Apartment,Fully-Furnished,16589242.35
1993,1,2,30,11.85,8.6,3,Good,Apartment,Semi-Furnished,14775050.35
3521,3,2,24,31.16,4.3,0,Developing,Apartment,Semi-Furnished,16739810.43
4105,3,2,7,2.67,3.3,0,Prime,Apartment,Fully-Furnished,26293090.55
1364,5,1,0,5.64,8.7,2,Good,Apartment,Unfurnished,12911496.82
737,1,1,6,3.8,4.4,3,Prime,Apartment,Fully-Furnished,8995000.28
544,5,2,6,29.67,1.2,2,Average,Villa,Semi-Furnished,6205301.94
3166,1,3,7,1.36,4.5,0,Prime,Apartment,Semi-Furnished,20491354.32
2538,4,1,18,30.3,6.9,1,Prime,Apartment,Semi-Furnished,16968738.02
780,1,4,16,16.34,3.3,2,Good,Villa,Semi-Furnished,8248251.17
2286,2,4,10,1.14,4.9,0,Good,Apartment,Semi-Furnished,16124834.35
2254,3,2,10,14.66,1.5,3,Good,Apartment,Semi-Furnished,15775180.53
1628,4,4,37,7.35,6.3,1,Prime,Apartment,Semi-Furnished,13042372.48
3001,3,1,1,22.23,7.8,1,Developing,Apartment,Unfurnished,19107641.03
724,5,3,3,24.1,4.7,1,Developing,Villa,Semi-Furnished,7993970.12
4187,4,3,27,17.58,4.8,3,Good,Apartment,Semi-Furnished,23575674.81
2038,2,3,32,2.38,1.8,1,Average,Independent House,Unfurnished,11376618.37
2676,3,4,10,23.31,2.8,0,Average,Independent House,Unfurnished,16772855.95
2406,1,2,2,29.63,2.4,2,Good,Apartment,Unfurnished,11532587.53
2225,1,4,39,25.49,5.3,1,Good,Independent House,Semi-Furnished,11056996.24
2634,1,2,4,29.22,5.8,1,Good,Apartment,Semi-Furnished,15298987.86
1216,4,3,20,7.82,9.5,0,Good,Apartment,Unfurnished,12182439.95
1437,2,1,21,31.22,1.7,3,Good,Apartment,Fully-Furnished,8388257.65
2209,2,4,36,11.95,6.4,1,Average,Apartment,Semi-Furnished,10840807.29
1653,2,1,10,1.46,5.7,0,Good,Apartment,Semi-Furnished,11115150.07
3703,3,3,21,29.68,5.6,0,Average,Apartment,Unfurnished,19965690.73
3780,4,2,12,33.02,8.9,3,Prime,Independent House,Semi-Furnished,25038378.68
2740,1,1,2,23.29,2.8,3,Good,Villa,Semi-Furnished,17260132.96
1569,3,4,12,8.87,1.4,2,Good,Apartment,Fully-Furnished,13721235.3
646,2,1,27,9.56,7.1,1,Good,Villa,Semi-Furnished,8740987.31
4425,1,1,10,16.86,4.1,2,Average,Independent House,Semi-Furnished,25462853.68
975,4,4,10,31.53,1.2,0,Average,Apartment,Fully-Furnished,5852562.31
1081,5,2,20,6.09,3.3,1,Good,Apartment,Unfurnished,7804004.92
1860,2,4,20,29.08,3.8,0,Average,Apartment,Unfurnished,9271449.84
857,2,3,6,10.9,6.6,0,Developing,Apartment,Semi-Furnished,7603213.52
1742,2,2,16,28.49,2.6,0,Average,Apartment,Unfurnished,8420541.62
1644,2,1,13,32.29,4.7,3,Prime,Apartment,Unfurnished,12743365.54
2398,1,4,32,15.53,5.3,3,Average,Villa,Semi-Furnished,13352609.62
4105,4,3,10,13.41,5.1,1,Prime,Apartment,Unfurnished,26779925.55
1140,3,4,12,28.28,9.8,0,Developing,Apartment,Semi-Furnished,7292637.46
2667,1,2,0,19.0,1.4,0,Good,Apartment,Fully-Furnished,16601761.79
608,4,3,33,24.27,9.6,1,Good,Apartment,Unfurnished,5279338.97
4030,3,1,8,22.18,6.2,2,Prime,Apartment,Unfurnished,23917025.38
2944,2,2,12,6.2,8.2,0,Good,Apartment,Unfurnished,17856287.56
2139,4,3,36,29.72,4.9,3,Developing,Independent House,Unfurnished,10273550.82
2387,2,2,29,7.66,5.1,2,Prime,Apartment,Unfurnished,15646186.05
1467,4,1,36,32.7,8.9,2,Good,Apartment,Unfurnished,7715193.95
3603,5,3,6,9.52,9.1,2,Developing,Apartment,Semi-Furnished,23875468.41
1530,2,4,13,25.95,3.1,2,Good,Independent House,Unfurnished,11749050.47
4040,2,4,5,10.68,2.8,2,Good,Villa,Semi-Furnished,27656941.35
561,2,1,33,11.8,5.5,2,Average,Apartment,Fully-Furnished,4433494.74
497,1,3,15,11.54,9.1,1,Good,Apartment,Semi-Furnished,7156009.99
4113,3,1,36,26.43,3.9,1,Prime,Apartment,Semi-Furnished,22923089.83
2360,2,1,35,19.93,6.9,2,Prime,Apartment,Unfurnished,13543703.57
825,2,2,5,31.02,7.4,3,Average,Independent House,Semi-Furnished,6888967.61
1277,1,4,7,11.45,8.0,1,Developing,Apartment,Semi-Furnished,9863684.65
2530,1,1,23,24.53,6.1,1,Prime,Villa,Unfurnished,15406229.88
3001,5,2,2,26.6,4.6,2,Good,Apartment,Fully-Furnished,22055344.81
1076,4,1,3,6.15,9.7,3,Good,Apartment,Unfurnished,13437748.46
2369,2,1,31,14.62,6.5,2,Average,Independent House,Unfurnished,15384178.7
1476,4,1,0,17.42,7.6,3,Good,Apartment,Fully-Furnished,13797402.28
4007,1,4,33,13.09,4.1,3,Developing,Independent House,Fully-Furnished,22236916.23
4037,1,3,8,11.95,7.0,0,Prime,Apartment,Unfurnished,24388072.11
2341,5,4,11,24.34,3.3,1,Developing,Apartment,Semi-Furnished,14819232.33
4293,3,2,9,8.34,3.2,2,Average,Villa,Semi-Furnished,25035211.11
2539,1,3,9,25.12,7.4,1,Average,Apartment,Semi-Furnished,12228816.13
2506,2,2,22,32.79,5.7,1,Good,Apartment,Unfurnished,12238960.44
3497,5,1,5,20.22,7.1,3,Average,Apartment,Semi-Furnished,20283073.87
1268,3,3,23,21.79,3.4,1,Prime,Villa,Fully-Furnished,13853334.06
1106,5,2,23,3.34,6.4,0,Prime,Apartment,Unfurnished,13055709.71
4434,1,1,20,30.39,5.0,2,Good,Apartment,Fully-Furnished,21539363.83
4130,3,2,30,10.71,6.4,1,Developing,Apartment,Fully-Furnished,22929744.05
2261,4,2,29,21.91,3.6,2,Average,Apartment,Unfurnished,12546246.49
3663,3,4,33,34.29,7.4,1,Good,Independent House,Semi-Furnished,19106400.98
1239,2,1,17,21.25,8.3,2,Average,Apartment,Unfurnished,7540959.22
1909,4,4,11,25.64,3.3,2,Prime,Villa,Semi-Furnished,16374852.65
3548,4,3,34,16.14,3.7,2,Average,Apartment,Semi-Furnished,19227395.86
3564,2,1,6,3.05,7.0,1,Average,Villa,Unfurnished,21767298.58
1604,4,4,39,28.12,7.3,0,Average,Villa,Semi-Furnished,10325614.64
3737,1,4,24,2.19,7.3,2,Good,Independent House,Fully-Furnished,23510058.95
2079,3,3,5,24.82,7.1,3,Developing,Apartment,Semi-Furnished,14044607.07
1993,3,2,0,1.78,4.5,3,Developing,Apartment,Unfurnished,14003887.17
3095,2,2,15,30.32,4.6,3,Average,Villa,Unfurnished,17448678.87
3866,1,2,3,6.36,3.3,0,Good,Apartment,Semi-Furnished,22111033.08
4029,4,3,28,18.49,2.4,2,Average,Apartment,Fully-Furnished,23222438.55
2123,3,4,37,21.3,7.2,0,Average,Independent House,Fully-Furnished,12581190.33
2354,3,1,27,16.56,1.8,2,Good,Apartment,Semi-Furnished,11957495.3
1886,3,3,21,12.59,9.4,0,Good,Independent House,Semi-Furnished,15230690.21
1385,3,2,7,16.91,8.4,2,Good,Apartment,Unfurnished,11486027.8
3767,5,2,31,11.59,8.7,3,Average,Villa,Unfurnished,22315689.46
3970,2,1,32,15.9,9.2,2,Good,Apartment,Semi-Furnished,23662346.7
3509,4,3,12,13.2,4.7,0,Good,Apartment,Semi-Furnished,20914968.95
470,4,2,26,20.25,8.6,2,Average,Independent House,Semi-Furnished,6055917.49
1448,2,3,17,9.09,2.4,1,Good,Apartment,Fully-Furnished,10687051.82
1881,1,4,17,34.61,1.2,2,Prime,Independent House,Semi-Furnished,14487105.09
906,2,3,12,18.03,8.1,3,Good,Villa,Semi-Furnished,9689629.21
1917,3,4,21,7.6,1.7,2,Developing,Apartment,Unfurnished,11326987.26
2477,3,1,13,17.22,9.9,1,Average,Independent House,Fully-Furnished,19095544.95
3511,2,4,10,30.46,7.1,1,Good,Apartment,Semi-Furnished,20456855.81
4443,2,4,38,1.74,7.8,1,Developing,Independent House,Fully-Furnished,23955399.42
714,4,1,21,24.1,3.2,0,Prime,Apartment,Semi-Furnished,6302642.83
4181,4,2,35,19.63,7.1,1,Developing,Independent House,Semi-Furnished,22459594.28
2681,5,1,16,6.76,1.4,0,Good,Apartment,Semi-Furnished,17635723.52
2724,5,3,31,28.79,8.5,1,Prime,Apartment,Unfurnished,17251597.74
4325,3,1,13,13.54,2.5,0,Good,Apartment,Semi-Furnished,24175786.62
4069,5,3,28,10.99,7.3,1,Good,Apartment,Fully-Furnished,23265168.06
3767,5,2,5,29.16,3.0,1,Good,Apartment,Unfurnished,20199453.47
2496,1,3,3,22.71,1.6,2,Average,Apartment,Unfurnished,13109479.38
3594,2,1,10,31.54,5.3,1,Average,Apartment,Semi-Furnished,19597225.85
3671,4,1,39,22.42,2.5,2,Good,Apartment,Unfurnished,18004187.18
4034,5,2,9,26.19,7.6,1,Good,Apartment,Semi-Furnished,24418830.08
3590,4,1,27,29.44,3.1,1,Prime,Apartment,Semi-Furnished,20222071.64
1418,5,2,10,2.86,4.1,2,Prime,Apartment,Unfurnished,15150887.18
1254,5,2,34,27.39,6.1,2,Average,Apartment,Fully-Furnished,7343801.38
1703,3,1,14,21.87,3.6,0,Prime,Villa,Semi-Furnished,14684256.6
1172,1,4,7,3.36,4.4,3,Average,Villa,Fully-Furnished,11779005.6
1545,2,3,19,18.29,8.3,2,Good,Apartment,Semi-Furnished,13152745.39
1451,2,4,20,3.8,2.6,0,Prime,Independent House,Fully-Furnished,13040448.01
3372,3,2,0,26.02,1.7,1,Good,Apartment,Unfurnished,18284849.63
4129,3,3,28,19.58,4.0,2,Prime,Villa,Unfurnished,26077502.83
3918,2,4,23,33.42,4.8,2,Good,Apartment,Unfurnished,20334609.59
533,2,1,29,7.23,5.9,1,Average,Apartment,Semi-Furnished,4289167.17
1189,1,4,39,21.61,4.4,1,Good,Independent House,Fully-Furnished,8172982.42
3820,5,3,34,8.19,8.1,1,Prime,Independent House,Semi-Furnished,24764447.02
4269,1,3,32,21.88,1.4,1,Average,Apartment,Fully-Furnished,21462823.04
3814,2,3,19,25.57,4.9,3,Prime,Apartment,Unfurnished,23280787.99
2207,5,3,15,25.56,4.4,2,Average,Villa,Unfurnished,16571854.96
2443,2,4,8,28.71,6.8,1,Good,Villa,Fully-Furnished,17484102.2
672,1,1,30,30.02,9.7,1,Good,Independent House,Semi-Furnished,5923871.19
3290,1,1,16,3.63,5.6,3,Developing,Apartment,Semi-Furnished,18439231.62
3230,1,3,30,12.67,9.9,2,Average,Apartment,Unfurnished,18530602.36
3737,5,1,22,24.36,3.7,0,Prime,Apartment,Fully-Furnished,23378023.32
3752,4,4,5,17.95,1.3,2,Good,Apartment,Semi-Furnished,22872345.72
2902,4,1,29,7.48,2.5,0,Developing,Apartment,Semi-Furnished,13230043.98
1642,2,2,6,19.79,4.6,3,Prime,Independent House,Unfurnished,16210095.7
778,5,1,39,14.85,3.8,1,Good,Apartment,Semi-Furnished,5986788.69
875,3,3,10,14.26,1.9,3,Average,Independent House,Fully-Furnished,8686606.66
2027,4,1,33,28.53,4.9,2,Average,Apartment,Fully-Furnished,10918087.92
1219,5,1,11,14.86,4.0,1,Average,Apartment,Unfurnished,7462415.81
1669,5,1,26,1.9,2.1,2,Average,Apartment,Unfurnished,11444017.76
4425,4,1,11,2.97,3.7,0,Average,Apartment,Semi-Furnished,23363309.43
1057,5,2,12,30.11,9.0,2,Average,Independent House,Unfurnished,9686048.96
2302,5,4,7,33.66,3.7,3,Average,Apartment,Semi-Furnished,14871809.0
3023,4,3,15,24.41,7.4,3,Good,Apartment,Unfurnished,19892555.74
3122,1,3,28,13.39,6.5,3,Good,Apartment,Unfurnished,17665290.21
2574,2,1,34,32.91,4.8,1,Average,Apartment,Semi-Furnished,11583866.59
2496,3,4,28,23.54,3.2,2,Developing,Villa,Semi-Furnished,14652249.78
1750,2,1,30,29.71,4.3,1,Good,Apartment,Semi-Furnished,8519232.64
1369,1,2,12,27.04,6.3,2,Good,Villa,Fully-Furnished,11779929.53
3443,1,4,11,13.89,4.2,0,Developing,Villa,Unfurnished,19755047.87
915,5,4,1,17.28,2.9,2,Average,Apartment,Semi-Furnished,7826686.78
2414,2,4,32,7.33,2.0,2,Prime,Apartment,Unfurnished,14629308.86
1921,1,4,7,10.93,8.9,2,Average,Villa,Semi-Furnished,16061697.36
3841,2,1,39,27.46,5.0,2,Developing,Villa,Unfurnished,18355791.1
2395,1,2,31,31.4,6.6,0,Average,Apartment,Unfurnished,10053771.83
1633,3,4,37,25.63,5.4,1,Average,Apartment,Unfurnished,7666981.7
2989,1,3,27,16.82,8.9,3,Good,Apartment,Unfurnished,16569361.45
2810,2,3,14,3.94,5.9,2,Developing,Apartment,Fully-Furnished,16994010.49
2104,5,2,22,2.94,5.3,3,Good,Apartment,Semi-Furnished,15332851.43
2489,2,3,23,13.73,9.3,3,Developing,Apartment,Fully-Furnished,15458428.83
4470,4,1,12,16.77,7.5,3,Good,Apartment,Semi-Furnished,26913440.51
1634,2,1,20,21.71,2.0,3,Prime,Apartment,Unfurnished,10743904.74
2805,3,2,11,1.22,2.6,2,Good,Apartment,Unfurnished,16949710.27
4384,3,4,12,34.65,8.1,3,Good,Independent House,Unfurnished,25007926.16
3667,3,3,38,13.37,8.5,2,Average,Apartment,Unfurnished,21724693.49
2148,1,3,22,29.84,5.9,0,Developing,Independent House,Semi-Furnished,10201366.47
3917,3,2,27,19.19,6.0,1,Average,Apartment,Semi-Furnished,19769637.5
3188,2,2,13,5.43,6.7,1,Developing,Villa,Semi-Furnished,20788300.27
2586,5,3,16,28.12,5.0,2,Good,Apartment,Unfurnished,16347974.55
3232,3,4,23,25.13,7.1,2,Average,Apartment,Unfurnished,18126979.12
1227,2,2,33,18.93,2.0,1,Average,Apartment,Unfurnished,4606754.64
3248,1,1,21,18.49,9.7,3,Average,Apartment,Unfurnished,17810902.26
3829,1,3,9,3.97,7.8,2,Good,Independent House,Semi-Furnished,25156809.3
4067,5,2,7,23.3,6.7,3,Average,Apartment,Unfurnished,23471681.77
2868,5,2,20,31.98,3.8,2,Average,Independent House,Semi-Furnished,16978868.77
2948,2,2,36,4.17,2.4,2,Good,Apartment,Semi-Furnished,16876628.99
616,5,3,6,9.96,4.7,0,Average,Apartment,Unfurnished,7225019.8
2889,5,1,25,31.68,7.0,0,Developing,Apartment,Fully-Furnished,15018807.56
4158,1,1,12,10.67,6.7,1,Good,Villa,Semi-Furnished,26361144.93
1185,2,3,15,23.23,4.4,0,Average,Apartment,Unfurnished,7544824.32
2988,5,2,29,19.18,6.5,0,Average,Independent House,Fully-Furnished,19548542.8
1374,2,3,30,21.28,8.3,1,Average,Apartment,Unfurnished,6087192.79
1623,3,3,4,15.14,1.2,3,Good,Villa,Unfurnished,14783807.26
1941,1,2,31,11.2,5.1,0,Developing,Apartment,Semi-Furnished,9647222.04
2439,1,3,15,2.65,7.8,3,Good,Apartment,Semi-Furnished,16198112.84
4222,1,4,8,26.31,5.9,1,Prime,Apartment,Unfurnished,25092229.13
1516,4,1,21,26.37,6.9,2,Average,Apartment,Unfurnished,9948209.57
1394,2,4,39,23.8,5.7,3,Average,Apartment,Fully-Furnished,7105956.97
478,3,4,36,22.88,9.9,1,Average,Apartment,Unfurnished,4247306.19
2347,5,4,13,9.29,1.5,3,Prime,Apartment,Unfurnished,18861618.31
2105,3,3,15,1.76,5.4,1,Prime,Apartment,Semi-Furnished,15899282.39
2322,2,2,19,28.5,1.8,1,Developing,Apartment,Fully-Furnished,10927542.88
1504,1,3,14,17.7,2.4,2,Prime,Apartment,Unfurnished,11364071.54
3190,4,1,25,11.43,4.4,3,Average,Apartment,Semi-Furnished,17181081.65
2147,2,3,8,4.47,2.4,2,Average,Independent House,Semi-Furnished,14386762.12
2625,2,3,0,3.13,9.7,2,Average,Independent House,Semi-Furnished,20003059.86
3264,5,3,34,12.86,9.5,3,Prime,Apartment,Semi-Furnished,23074875.75
3815,3,3,19,28.36,4.0,3,Average,Independent House,Fully-Furnished,22512560.6
2938,3,4,5,32.24,6.8,1,Developing,Villa,Unfurnished,17647928.54
3366,5,2,9,31.49,5.8,3,Good,Apartment,Unfurnished,20914551.1
1861,4,1,32,32.28,8.3,1,Good,Apartment,Fully-Furnished,10343054.2
2239,1,1,15,31.86,6.6,1,Good,Independent House,Semi-Furnished,12049247.18
2115,1,1,35,18.93,1.0,1,Prime,Apartment,Semi-Furnished,10807170.79
973,4,3,5,8.46,7.9,1,Developing,Independent House,Semi-Furnished,11979272.43
2020,5,1,18,28.13,7.7,1,Developing,Independent House,Semi-Furnished,13640964.5
2183,2,4,30,8.27,5.6,1,Developing,Apartment,Semi-Furnished,12065385.37
1209,3,2,1,10.09,9.1,3,Average,Apartment,Fully-Furnished,11805965.06
2607,2,3,17,8.93,9.2,3,Average,Apartment,Semi-Furnished,16568414.08
1801,3,3,27,18.51,5.7,0,Good,Apartment,Unfurnished,10806906.42
3926,2,4,3,11.94,6.5,3,Average,Apartment,Semi-Furnished,22933006.26
1718,5,1,0,6.24,10.0,2,Average,Apartment,Semi-Furnished,14733903.39
2235,5,3,15,16.41,3.7,0,Developing,Apartment,Semi-Furnished,13096187.48
4399,4,3,1,30.71,3.9,3,Average,Apartment,Semi-Furnished,23577432.99
2302,2,4,35,20.4,2.6,2,Developing,Apartment,Unfurnished,9662996.57
2660,2,4,0,30.86,9.1,3,Developing,Apartment,Semi-Furnished,17093656.11
3057,4,1,38,7.66,7.7,1,Developing,Apartment,Semi-Furnished,16124360.66
848,4,2,22,6.68,2.0,0,Prime,Apartment,Semi-Furnished,8528114.39
3080,5,2,25,20.57,9.8,1,Average,Apartment,Semi-Furnished,17318115.31
2896,5,1,10,16.75,7.6,0,Average,Independent House,Unfurnished,20129964.84
4014,2,2,0,23.45,8.7,0,Good,Apartment,Semi-Furnished,22962018.71
2119,5,4,10,28.02,1.4,1,Prime,Apartment,Semi-Furnished,15706033.53
688,5,4,23,26.54,5.5,0,Average,Independent House,Semi-Furnished,6445117.82
3986,2,4,9,33.04,7.3,0,Good,Apartment,Semi-Furnished,22287251.36
2053,4,2,13,14.54,5.9,3,Good,Villa,Semi-Furnished,17358048.77
4311,2,2,13,8.02,7.0,2,Average,Apartment,Unfurnished,22797969.07
3553,1,3,6,19.73,8.4,1,Developing,Independent House,Semi-Furnished,21130045.38
1596,2,3,22,4.77,4.4,3,Average,Independent House,Unfurnished,12770855.78
2007,1,3,21,10.82,8.6,3,Good,Apartment,Semi-Furnished,15513351.7
4188,2,2,35,8.07,2.5,1,Good,Apartment,Unfurnished,20914787.42
2607,1,3,26,14.48,3.4,0,Good,Independent House,Unfurnished,14852713.09
1744,1,4,1,4.78,1.4,1,Good,Villa,Semi-Furnished,16838999.73
3901,2,2,38,2.08,4.3,2,Prime,Villa,Semi-Furnished,25684831.85
749,5,1,18,23.33,4.4,2,Developing,Apartment,Semi-Furnished,4953243.89
4148,3,2,6,21.75,8.2,1,Average,Villa,Semi-Furnished,25023314.89
4253,5,3,11,25.08,6.9,3,Prime,Apartment,Semi-Furnished,28403894.52
3499,1,2,2,23.45,4.9,1,Good,Apartment,Semi-Furnished,19054266.58
2215,2,3,4,4.89,6.9,2,Good,Apartment,Semi-Furnished,17634754.08
1213,2,3,7,10.9,1.5,1,Good,Apartment,Semi-Furnished,9746269.97
698,2,1,13,5.4,2.6,0,Prime,Villa,Semi-Furnished,10414348.69
3018,2,1,35,29.66,6.6,1,Developing,Apartment,Semi-Furnished,13032539.58
483,3,4,6,26.39,6.8,3,Good,Apartment,Fully-Furnished,7400357.68
677,4,3,6,7.85,8.0,0,Prime,Villa,Unfurnished,14097393.55
1034,1,2,31,12.6,4.6,2,Prime,Independent House,Fully-Furnished,9893136.45
3920,3,1,7,33.86,7.5,1,Average,Apartment,Unfurnished,20232358.43
3455,5,1,11,21.2,7.2,3,Prime,Apartment,Unfurnished,23075876.64
3310,4,3,9,28.24,9.7,3,Prime,Apartment,Unfurnished,23017519.92
1173,4,2,13,10.0,2.9,2,Good,Apartment,Semi-Furnished,9107657.39
3081,2,1,8,8.14,6.0,1,Average,Apartment,Unfurnished,17209215.66
1019,3,1,37,27.65,6.4,3,Prime,Apartment,Fully-Furnished,7792971.13
669,5,2,29,24.32,10.0,0,Good,Apartment,Fully-Furnished,7916352.27
1844,2,1,4,24.15,2.8,1,Good,Independent House,Semi-Furnished,11911833.69
3284,2,2,0,19.79,5.7,2,Prime,Apartment,Semi-Furnished,20474808.93
4282,1,3,0,20.16,4.1,0,Good,Apartment,Fully-Furnished,22695414.89
3025,4,1,19,26.01,5.7,1,Prime,Apartment,Fully-Furnished,18080857.88
2572,5,3,10,10.18,3.1,3,Prime,Apartment,Semi-Furnished,21031584.38
2091,4,2,25,12.99,1.4,2,Good,Apartment,Semi-Furnished,12762185.94
585,3,3,2,30.64,6.2,2,Good,Apartment,Semi-Furnished,7677924.18
4450,1,3,5,11.5,4.0,1,Prime,Apartment,Semi-Furnished,27472838.95
2571,2,3,10,19.57,2.6,2,Good,Apartment,Unfurnished,15275765.53
703,1,4,7,24.89,3.9,0,Developing,Apartment,Semi-Furnished,4460896.83
3539,2,2,28,35.0,1.4,1,Average,Apartment,Unfurnished,16057273.79
2404,1,2,9,15.8,9.6,0,Average,Independent House,Semi-Furnished,15996596.32
3519,2,2,33,15.56,6.2,2,Developing,Apartment,Semi-Furnished,18735587.73
3564,4,2,23,29.65,8.3,2,Developing,Apartment,Fully-Furnished,19948946.95
499,4,2,16,28.39,4.8,2,Average,Apartment,Fully-Furnished,4477983.35
964,4,1,31,25.86,9.1,0,Average,Independent House,Semi-Furnished,6645979.38
3241,4,1,10,16.75,5.3,2,Good,Independent House,Semi-Furnished,20637081.67
3228,1,1,33,12.01,6.2,1,Prime,Apartment,Unfurnished,19259393.22
3068,2,3,23,21.7,5.4,3,Average,Independent House,Semi-Furnished,17555854.14
4317,4,3,4,30.79,7.6,1,Developing,Apartment,Unfurnished,22879774.48
2287,1,2,28,31.05,6.1,3,Good,Independent House,Unfurnished,13336400.24
1025,2,4,33,4.69,3.4,2,Average,Apartment,Semi-Furnished,6687349.6
4103,1,2,15,15.56,2.3,1,Good,Apartment,Unfurnished,21589711.66
3824,4,1,24,16.8,6.5,0,Good,Apartment,Unfurnished,22577032.51
1615,3,2,36,34.24,5.4,3,Good,Apartment,Fully-Furnished,9944563.73
1352,1,3,7,24.05,1.9,0,Good,Apartment,Unfurnished,8084909.5
2699,4,2,28,14.85,4.6,3,Good,Apartment,Unfurnished,14729618.95
2704,5,1,24,1.89,5.6,2,Average,Apartment,Unfurnished,16068033.75
864,2,2,22,20.22,8.4,1,Developing,Apartment,Unfurnished,5889541.49
2718,4,3,33,4.27,1.7,3,Developing,Apartment,Unfurnished,13505863.06
3883,5,4,2,29.37,4.1,1,Good,Independent House,Semi-Furnished,26760673.27
3255,1,1,29,26.59,8.4,3,Developing,Independent House,Unfurnished,16749774.91
1554,1,2,33,16.66,6.8,3,Good,Independent House,Fully-Furnished,11300363.55
1212,5,3,31,15.59,3.6,2,Good,Villa,Unfurnished,10130419.33
1012,5,1,28,31.51,8.6,3,Average,Villa,Semi-Furnished,9513863.98
3806,2,1,8,10.81,5.4,0,Good,Apartment,Semi-Furnished,20841798.37
2866,1,3,1,9.47,5.5,3,Prime,Apartment,Semi-Furnished,22832603.33
1965,5,2,38,32.93,9.8,3,Good,Apartment,Semi-Furnished,13413216.17
2384,3,2,6,28.51,9.5,3,Average,Apartment,Fully-Furnished,16883266.8
3393,3,2,4,28.9,4.2,2,Good,Independent House,Unfurnished,19563013.89
1819,5,1,7,7.64,2.3,1,Average,Apartment,Semi-Furnished,12749871.94
653,2,4,31,5.87,3.9,1,Average,Independent House,Fully-Furnished,7787977.76
3546,1,1,17,1.89,1.3,2,Average,Apartment,Unfurnished,18848394.86
3454,3,2,37,9.06,1.2,0,Developing,Villa,Unfurnished,16672501.81
2026,5,1,17,27.32,4.6,0,Good,Apartment,Unfurnished,11424115.62
518,5,4,15,9.16,9.5,2,Prime,Apartment,Semi-Furnished,10771857.48
965,4,1,20,25.79,8.8,1,Good,Independent House,Unfurnished,8425705.95
4013,5,3,9,9.56,5.6,0,Good,Apartment,Unfurnished,25913500.95
2737,2,2,3,14.44,6.1,2,Average,Apartment,Semi-Furnished,15258488.18
810,3,2,7,34.43,1.1,1,Prime,Apartment,Semi-Furnished,7968927.23
1914,4,2,18,9.32,2.9,0,Good,Apartment,Unfurnished,11083526.96
1504,3,1,39,13.8,1.2,0,Average,Apartment,Unfurnished,4990073.66
2372,3,1,39,11.24,7.8,2,Average,Apartment,Semi-Furnished,11017639.97
2102,2,1,8,4.73,2.3,1,Average,Apartment,Fully-Furnished,12722051.01
1156,5,2,29,17.66,8.8,0,Average,Apartment,Semi-Furnished,9585658.49
2075,2,1,16,13.88,6.8,2,Average,Apartment,Semi-Furnished,12797941.82
3187,5,2,39,24.63,3.1,0,Average,Independent House,Semi-Furnished,15313674.61
1106,4,1,14,28.8,2.4,1,Good,Villa,Unfurnished,9960232.91
4477,2,2,3,19.5,6.6,3,Developing,Apartment,Semi-Furnished,25967773.84
4235,2,3,5,2.09,9.1,0,Average,Apartment,Fully-Furnished,26029441.83
1795,1,1,15,22.04,7.5,1,Good,Apartment,Semi-Furnished,12909074.24
793,2,2,25,2.88,4.1,0,Good,Villa,Fully-Furnished,9740407.71
4236,1,3,36,21.96,6.3,3,Average,Villa,Fully-Furnished,23925387.26
985,5,3,22,24.29,3.8,3,Developing,Independent House,Unfurnished,7181759.16
804,5,4,12,7.72,10.0,0,Prime,Apartment,Unfurnished,12676258.64
3992,5,1,16,28.86,7.7,2,Prime,Apartment,Unfurnished,24682912.15
1377,1,2,26,31.98,6.5,0,Developing,Apartment,Semi-Furnished,6004046.1
1432,5,4,21,28.64,4.8,1,Developing,Apartment,Unfurnished,7826272.94
2467,3,1,36,11.37,6.6,2,Good,Apartment,Fully-Furnished,14857289.0
2602,2,3,18,20.95,4.1,1,Good,Apartment,Unfurnished,13883424.65
4308,1,1,38,32.1,1.3,1,Average,Villa,Unfurnished,17432981.11
1795,5,2,34,11.9,4.6,2,Good,Apartment,Unfurnished,12402474.11
2045,3,3,12,28.88,9.4,3,Developing,Independent House,Fully-Furnished,13523449.92
2356,2,4,13,1.32,6.6,1,Prime,Apartment,Semi-Furnished,18529667.82
3459,2,1,30,1.12,1.8,0,Prime,Independent House,Fully-Furnished,21913301.92
976,5,1,1,26.83,9.0,3,Good,Independent House,Fully-Furnished,12892306.71
3001,3,4,38,26.89,3.4,3,Good,Independent House,Semi-Furnished,16828828.83
3606,1,1,36,27.83,3.2,2,Prime,Villa,Unfurnished,20236490.33
1380,5,1,13,32.62,3.7,0,Prime,Independent House,Unfurnished,12043270.36
3206,2,1,8,5.01,6.2,0,Average,Apartment,Unfurnished,18979468.33
2732,2,3,9,8.89,5.9,3,Prime,Apartment,Semi-Furnished,21677497.21
2396,2,3,6,31.73,5.4,1,Developing,Villa,Unfurnished,14883174.74
4377,5,2,27,7.03,7.5,1,Good,Villa,Unfurnished,27399843.96
1736,4,1,24,24.2,3.8,0,Average,Independent House,Semi-Furnished,9420743.93
3527,4,2,27,19.04,8.0,3,Good,Apartment,Semi-Furnished,21318751.69
2991,4,3,1,3.83,2.6,3,Good,Apartment,Semi-Furnished,21461044.79
